author	bookid	bpoids	genres	htrcids	subjects	title
Rinehart Mary Roberts	B6896	{3222882}		{'mdp.39015002717810'}		Tish plays the game
Roberts Charles George Douglas Sir	B6897	{8841227, 3185195, 6669787, 6783327}		{'mdp.39015002718164'}		Barbara Ladd
Roberts Morley	B6898	{8969811}		{'mdp.39015002718602'}		Time and Thomas Waring a study of a man
Remizov Alekseĭ	B6899	{3226238}		{'mdp.39015003539452'}		The fifth pestilence  together with The history of the tinkling cymbal and sounding brass Ivan Semyonovitch Stratilatov
Alexander Mrs	B69	{6792743, 6816486, 8886023}		{'nyp.33433074853072'}		The yellow fiend
Blackburn Douglas	B690	{8914625, 3186798}		{'nyp.33433074939962'}		Richard Hartley prospector
Roberts Katherine	B6900	{2482334}		{'mdp.39015003659789'}	{'Women', 'Great Britain', 'Suffrage'}	Pages from the diary of a militant suffragette
Rasmussen Knud	B6901	{3216642}		{'mdp.39015003932186'}	{'Eskimos', 'Folklore', 'Greenland'}	Eskimo folktales
Reuter Fritz	B6902	{8627756}		{'mdp.39015008234547', 'mdp.39015008234521', 'nyp.33433075750723'}		An old story of my farming days Ut mine stromtid
Rouse W H D William Henry Denham	B6903	{6806920}		{'mdp.39015014428521'}		The giant crab and other tales from old India
Rhoades Walter C	B6904	{8813617}		{'mdp.39015016737598'}		The story of John Trevennick
Rattray R S Robert Sutherland	B6905	{8963210}		{'mdp.39015019198087'}	{'Hausa language', 'Hausa (African people)', 'Folklore', 'Texts'}	Hausa Folklore customs proverbs etc coll and transliterated with English transl and notes
Rinehart Mary Roberts	B6906	{3228128}		{'mdp.39015020093772'}		The amazing adventures of Letitia Carberry
Radcliffe Ann Ward	B6907	{9024559}		{'mdp.39015024482492'}		Memoir of the life and writings of Mrs Radcliffe Gaston de Blondeville
Rhys Ernest	B6908	{3272171}	{'Juvenile audience'}	{'mdp.39015024837067'}	{'Fairy tales'}	Fairy gold a book of Old English fairy tales
R D Hitchcock Hitchcock Mary E Mary Evelyn Mrs	B6909	{4079539}		{'mdp.39015027937252'}	{'Gold discoveries'}	Two women in the Klondike the story of a journey to the goldfields of Alaska
Birchenough Mrs	B691	{8827228}		{'nyp.33433074939970'}		Disturbing elements
Radcliffe Ann Ward	B6910	{4693237}	{'ContainsBiogMaterial'}	{'mdp.39015028095787'}	{'History', 'Henry III, 1216-1272'}	Gaston de Blondeville or The court of Henry III  A romance
Reade Charles	B6911	{2460681}		{'mdp.39015029394791'}		A simpleton a story of the day
Ring Barbra	B6912	{2442243}		{'mdp.39015030019791'}		Into the dark
Rinehart Mary Roberts	B6913	{3206344}		{'mdp.39015030710068'}		Sight unseen and The confession
Reed Myrtle	B6914	{6686308, 8913160, 6825620, 8923620}		{'mdp.39015030711033'}		At the sign of the Jack o Lant
Rolland Romain	B6915	{2491345}		{'mdp.39015034369044', 'mdp.39015034352271'}		The death of a world
Robins Elizabeth	B6916	{2446770}		{'mdp.39015035994857'}		The secret that was kept a study in fear
Robins Elizabeth	B6917	{2447863}		{'mdp.39015039496289'}		Time is whispering
Rowley Hon Hugh	B6918	{2717305}		{'mdp.39015045693614'}	{'Women', 'Marriage'}	Gamosagammon or Hints on Hymen For the use of parties about to connubialize
Ritchie Anne Thackeray	B6919	{6658923, 8968534}		{'mdp.39015062688000'}		Bluebeards keys and other stories
Bone Gertrude Helena Dodd Lady	B692	{3179096}		{'nyp.33433074940093'}	{'English fiction'}	Provincial tales
Ritchie Anne Thackeray	B6920	{9162437, 8782677, 4382613}		{'mdp.39015062688174'}		Five old friends  and A young prince
Rawnsley Willingham Franklin	B6921	{6827082}	{'Biography'}	{'mdp.39015063534989'}	{'Uppingham School', '1821-1887', 'Thring, Edward'}	Early days at Uppingham under Edward Thring
Rendall Vernon Horace	B6922	{3210114}		{'mdp.39015063925815'}		The London nights of Belsize
Rawson Marion Nicholl	B6923	{6870335}		{'mdp.39015063926052'}		The priceless thing
Reed Myrtle	B6924	{6788419, 8918397}		{'mdp.39015063948775'}		A spinner in the sun
Reid Mayne	B6925	{8777903}		{'mdp.39015063949120', 'uiuo.ark+=13960=t95721m3x', 'uiuo.ark+=13960=t3hx1z78j', 'uiuo.ark+=13960=t7qn6r32g'}		The child wife
Rinehart Mary Roberts	B6926	{3240171}		{'mdp.39015063950011'}		Two flights up
Raymond Ernest	B6927	{3218373}		{'mdp.39015063950201'}	{'World War, 1914-1918'}	The jesting army
Rosman Alice Grant	B6928	{3236880, 2482633}		{'mdp.39015063952579'}		Somebody must
Roberts Morley	B6929	{8902426, 3173180, 6842231}		{'mdp.39015063953015'}		Rachel Marr
Boothby Guy Newell	B693	{8860699, 3152524}		{'nyp.33433074940150'}	{'English fiction'}	The fascination of the king
Roberts Charles George Douglas Sir	B6930	{6820704, 6810884}		{'uc2.ark+=13960=t2r49qs0z', 'mdp.39015063953098'}		The heart of the ancient wood
Ruysdale Philip	B6931	{2883954, 4843852, 9464340}		{'mdp.39015063953734'}		A pilgrimage over the prairies
Russell William Clark	B6932	{3423912, 3169117}		{'mdp.39015063953940'}		The romance of a midshipman
Robinson Lewis George	B6933	{3236893}		{'mdp.39015063955671'}		The Medbury fort murder
Rice Cale Young	B6934	{3319029}		{'mdp.39015063963931'}		Youths way
Rodziewiczówna Maria	B6935	{6801116, 8988518}		{'mdp.39015065362934'}		Anima vilis a tale of the great Siberian steppe
Russell William Clark	B6936	{8593185, 4453100, 6694199}		{'mdp.39015065541313'}		Auld lang syne  a novel
Ross Martin	B6937	{6807187, 6655325, 3185533, 8980203}		{'mdp.39015065549191'}		The silver fox
Reade Charles	B6938	{9415989}	{'Novel', 'ContainsBiogMaterial'}	{'mdp.39015066062137'}	{'d. 1760', 'Woffington, Margaret', '1720-1760'}	Peg Woffington A novel
Roscoe Thomas	B6939	{5175032}		{'mdp.39015066645402'}	{'Italian fiction', 'Translations into English'}	Tales of humour gallantry  romance selected and translated from the Italian
Boothby Guy Newell	B694	{6788051}		{'nyp.33433074940168'}	{'Presses, Issues of', 'Stone & Kimball'}	Long live the king
Rolfe Frederick	B6940	{3185996, 8893727}		{'mdp.39015066649776'}		Hadrian the Seventh
Reade Charles	B6941	{8653449, 8479105}	{'Bibliographies'}	{'mdp.39015067293152'}	{'English fiction'}	The cloister  the hearth or Maid wife and widow A matteroffact romance
Read Opie Percival	B6942	{8804326}		{'mdp.39015070226298'}		Emmett Bonlore
Reid Mayne	B6943	{4989024}	{'Juvenile audience'}	{'mdp.39015078570341'}	{'Voyages, Imaginary', 'Juvenile fiction'}	The desert home or The adventures of a lost family in the wilderness
Rabelais François	B6944	{3221957}		{'mdp.49015000731829'}		The complete works of Rabelais  the five books of Gargantua and Pantagruel
Rice Alice Caldwell Hegan	B6945	{6789134, 8886863}		{'uc2.ark+=13960=t0zp3wv0g', 'nc01.ark+=13960=t6252qg9v'}	{'Poor families', 'Single mothers', 'Louisville (Ky.)', 'Widows', 'Women benefactors', 'Urban poor', 'Female friendship', 'Poor women'}	Mrs Wiggs of the cabbage patch
Richards Laura Elizabeth Howe	B6946	{4120367}		{'nc01.ark+=13960=t9m33xf01'}	{'1820-1910', 'Nightingale, Florence'}	Florence Nightingale the angel of the Crimea
Richardson Dorothy M Dorothy Miller	B6947	{3197528}		{'njp.32101017393073'}		The tunnel
Ridge W Pett William Pett	B6948	{6745521}		{'njp.32101046512917'}		Outside the radius
Rolleston T W Thomas William	B6949	{3184787}		{'njp.32101047678428'}	{'History and criticism', 'Mythology, Celtic', 'Celtic literature', 'Celts'}	Myths  legends of the Celtic r
Boothby Guy Newell	B695	{6815977}		{'nyp.33433074940218'}		A millionaires love story
Ruffini Giovanni	B6950	{5000368, 8725659}		{'njp.32101055717035'}	{'History'}	Doctor Antonio  a tale of Ital
Robinson Emma	B6951	{8405408, 4979098}		{'njp.32101064790239'}		Owen Tudor an historical romance n 1
Russell William Clark	B6952	{8947514}		{'njp.32101064912353'}		The tale of the ten  a saltwater romance
Redding Cyrus	B6953	{8773503}		{'njp.32101065704346', 'njp.32101065704353', 'njp.32101065704262'}		Keeping up appearances a novel of English life
Reed Andrew	B6954	{8671418, 5123618}		{'njp.32101065704304', 'njp.32101065704296'}	{'Friendship'}	No fiction A narrative founded on recent and interesting facts
Reade William Winwood	B6955	{8646481}		{'njp.32101065704312', 'njp.32101065704320'}		Liberty hall Oxon
Reade John Edmund	B6956	{5018976}		{'njp.32101065704411', 'njp.32101065704395', 'njp.32101065704403'}		The light of other days
Roe A S Azel Stevens	B6957	{4987209, 8631841}		{'njp.32101065710228'}	{'American fiction'}	The star and the cloud or A daughters love
Reid Mayne	B6958	{5000709, 8625639}		{'njp.32101065853291'}	"{""Children's stories, English""}"	The white chief  a legend of northern Mexico
Rita	B6959	{3156069}		{'njp.32101068171147', 'njp.32101068171162', 'njp.32101068171154'}		Peg the rake
Boothby Guy Newell	B696	{6803304}		{'nyp.33433074940234'}	{'English fiction'}	My strangest case
Rossetti Christina Georgina	B6960	{8589110, 8821645, 6694702}		{'njp.32101068585437'}		Commonplace and other short stories
RGG	B6961	{5141886}		{'njp.32101073308866'}		Miscellaneous tales original and select in prose and verse
Reade Charles	B6962	{8370428}		{'nnc1.0037105965'}		Charles Reades novels
Rives Hallie Erminie	B6963	{8940697}		{'nnc1.1002214989'}	{'1788-1824', 'Byron, George Gordon Byron', 'Baron'}	The castaway three great men ruined in one yeara king a cad and a castaway
Roe Vingle E	B6964	{9114794}		{'nnc1.1002216965'}		The maid of the whispering hills
Ruck Berta	B6965	{3281945, 9370186}		{'nnc1.1002217503'}		His official fiancee
Rhodes Eugene Manlove	B6966	{3316509}		{'nnc1.cu58366229'}		Good men and true
Rees James	B6967	{4450963}		{'nnc1.cu58378863'}		Mysteries of city life or Stray leaves from the worlds book being a series of tales sketches incidents and scenes founded upon the notes of a home missionary
Reynolds Stephen Sydney	B6968	{6864294}		{'nyp.33433009064266'}	{'Fisheries', 'Great Britain'}	Alongshore where man and the sea face one another
Ridge W Pett William Pett	B6969	{6701669}		{'nyp.33433043895014'}		The Wickhamses
Boothby Guy Newell	B697	{6797118, 6787919}		{'nyp.33433074940259'}		Pharos the Egyptian
Robinson F W Frederick William	B6970	{9432582}		{'nyp.33433061815555'}	{'Prison life'}	Prison characters drawn from life  with suggestions for  prison government
Ritchie Leitch	B6971	{6102216, 6174777, 6137474, 4701172}		{'nyp.33433066655733', 'hvd.hwe4lw'}	{'History'}	The romance of history France
Rita	B6972	{8908737}		{'nyp.33433074869805'}	{'English fiction'}	The pointing finger
RamsayLaye Elizabeth	B6973	{9430863}		{'nyp.33433074892997'}		Social life in Sydney or Colonial experience An Australian tale
Rowlands Effie Adelaide	B6974	{6203409, 8856237}		{'nyp.33433074946009'}		The fault of one
Robinson F W Frederick William	B6975	{8957925}		{'nyp.33433075723209'}	{'English fiction'}	Wildflower
Robins Elizabeth	B6976	{8974446}		{'nyp.33433075723274'}		The open question a tale of two temperaments
Rowcroft Charles	B6977	{8477160, 4973813}		{'nyp.33433075730030'}	{'English fiction'}	The bush ranger of Van Diemens Land
Rickard Jessie Louia Moore	B6978	{3217099}		{'nyp.33433075730436'}	{'English fiction'}	The fire of green boughs
Ruck Berta	B6979	{3190724}		{'nyp.33433075731723'}		Miss Millions maid  a romance of love and fortune
Black William	B698	{8521557}		{'nyp.33433074940309'}	{'Scottish authors', 'English fiction'}	A princess of Thule
Russell Walter	B6980	{6812283}		{'nyp.33433075732135'}		The bending of the twig
Rynd Evelyne Elsye	B6981	{8990421, 6800110}		{'nyp.33433075732390'}	{'English fiction'}	Mrs Green
Rhodes Kathlyn	B6982	{3207211}		{'nyp.33433075741938'}		Sands of gold
Reynolds Baillie Mrs	B6983	{9459025, 3174605}		{'nyp.33433075741961'}	{'English fiction'}	The girl from nowhere
Reynolds Baillie Mrs	B6984	{3187046}		{'nyp.33433075741979'}	{'English fiction'}	The notorious Miss Lisle
Reynolds Baillie Mrs	B6985	{3202104, 9317725}		{'nyp.33433075742001'}		Out of the night
Reynolds Beatrice	B6986	{8624184, 6175869}		{'nyp.33433075742191'}	{'English fiction'}	My first season
Reid John	B6987	{3158902, 6624911}		{'nyp.33433075742365'}		A chronicle of small beer
Rosegger Peter	B6988	{3179331}		{'nyp.33433075751135'}		The earth and the fullness thereof a romance of modern Styria
Rhoscomyl Owen	B6989	{6793393}		{'nyp.33433075757173'}		Vronina
Boothby Guy Newell	B699	{8954092}		{'nyp.33433074940465'}		Sheilah McLeod a heroine of the back blocks
Raymond Walter	B6990	{3257501}		{'nyp.33433075872204'}		Tryphena in love
Rees Claude A	B6991	{8803684, 6658503}		{'nyp.33433075872808'}		Chun Tikung  his life and adve
Raine Allen	B6992	{3193877, 8928999}	{'Novel'}	{'nyp.33433075873186'}	{'Welsh fiction'}	Neither storehouse nor barn
Raymond Walter	B6993	{3169745}		{'uc1.b3123772', 'nyp.33433075873392'}		Gentleman Upcotts daughter
Rawson Maud Stepney	B6994	{3162520}		{'nyp.33433075873442'}	{'English fiction', 'Caroline', 'Queen, consort of George IV, King of Great Britain', '1768-1821'}	A lady of the regency
Raymond Walter	B6995	{8852353, 6787660, 3173109, 6792333}		{'nyp.33433075900674'}	{'English fiction'}	Two men o Mendip
Raymond Walter	B6996	{9470282, 6748069}		{'nyp.33433075902480'}		The revenues of the wicked
Risley R V Richard Voorhees	B6997	{6789449}		{'nyp.33433076047897'}	{'American fiction'}	The sentimental Vikings
Richardson Norval	B6998	{3187820}		{'nyp.33433076048028'}	{'American fiction'}	The lead of honour
Rice Alice Caldwell Hegan	B6999	{3206452}		{'nyp.33433076048713'}		The Honorable Percival
Akerman John Yonge	B7	{4701547}		{'dul1.ark+=13960=t7kp8tw9v'}		Tales of other days
Anstey F	B70	{3149520, 8840833}		{'nyp.33433074859970'}	{'English fiction'}	The statement of Stella Maberly
Boothby Guy Newell	B700	{6793905}		{'nyp.33433074940499'}	{'English fiction'}	The mystery of the clasped hands a novel
Rice Alice Caldwell Hegan	B7000	{9451927}		{'nyp.33433076048747'}		Mr Opp
Rees Arthur J Arthur John	B7001	{3212099}		{'nyp.33433076049646'}		The shrieking pit
Rayne M L Martha Louise	B7002	{8559452}		{'nyp.33433076049794'}		Fallen among thieves A summer 
Reed Myrtle	B7003	{3190612, 9074061}		{'nyp.33433076049984'}		A weaver of dreams
Ryley Madeleine Lucette	B7004	{6762793}		{'nyp.33433076052400'}	{'Women authors, American', 'American fiction', '19th century'}	An American citizen
Rinehart Mary Roberts	B7005	{3217652}		{'nyp.33433076053804'}		More Tish
Rideout Henry Milner	B7006	{3209389}		{'nyp.33433076053929'}		The far cry
Roe A S Azel Stevens	B7007	{8781201}		{'nyp.33433076054760'}		How could he help it or The heart triumphant
Rives Amélie	B7008	{8819281}		{'nyp.33433076074875'}		Tanis the sangdigger
Ridge W Pett William Pett	B7009	{6832540, 9036238}	{'Novel'}	{'nyp.33433081587580'}		Mrs Galers business
Blackburn Douglas	B701	{8840087}		{'nyp.33433074940622'}		A burgher Quixote
Ridge W Pett William Pett	B7010	{9300334, 6815134}		{'nyp.33433081588182'}		Name of Garland
Roland Wilkins Wilkins Louisa Jebb Mrs	B7011	{6799049}		{'nyp.33433081590162'}	{'Description and travel'}	By desert ways to Baghdad
Ryan William Redmond	B7012	{8845210}		{'nyp.33433081824785', 'nyp.33433081824777'}	{'Description and travel'}	Personal adventures in Upper and Lower California
Reid Mayne	B7013	{4923644}	{'Juvenile audience'}	{'nyp.33433082293733'}	"{""Children's stories, English""}"	The ocean waifs  a story of adventure on land and sea
Rabelais François	B7014	{3222806}		{'pst.000003048894'}	{'Rabelais, François', 'Translations into English', 'ca. 1490-1553?'}	Gargantua and Pantagruel Books III
Russell William Clark	B7015	{8705503}		{'pst.000005325429'}		John Holdsworth chief mate
Robertson E Arnot Eileen Arnot	B7016	{2489155}		{'pst.000005339648'}		Ordinary families
Rita	B7017	{3163431}		{'pst.000021678363'}		A gender in satin
Raine William MacLeod	B7018	{8931795, 3181884}		{'uc1.$b244029'}		Troubled waters
Rice Elmer	B7019	{3244933}		{'uc1.$b244476'}		A voyage to Purilia
Blake Cecilia	B702	{9434167}		{'nyp.33433074940663'}	{'English fiction'}	Cecile Raye an autobiography
Russell William Howard Sir	B7020	{8973357}		{'uc1.$b250360', 'uc1.$b250359', 'uiuo.ark+=13960=t0gt67b40'}		The adventures of Doctor Brady
Rook Clarence	B7021	{3164970}		{'uc1.$b269202'}	{'London', 'Gangs', 'Biography', 'England', 'Hoodlums', 'IsBiographical'}	The Hooligan nights
Raine William MacLeod	B7022	{3236897}		{'uc1.$b312352'}	{'Railroad stories'}	Roads of doubt
Rea Lorna Mrs	B7023	{3224386}		{'uc1.$b312361'}		Six Mrs Greenes
Ryerson Florence	B7024	{3217425}		{'uc1.$b312431'}		Seven suspects
Ross William A	B7025	{8256773}		{'uc1.$b536902'}	{'Scandinavia', 'Description and travel', 'Yachting'}	A yacht voyage to Norway Denmark and Sweden
Rodziewiczwna Maria	B7026	{6811130}		{'uc1.$b599059'}		Anima vilis
Robinson Lennox	B7027	{6820801, 9031562, 3208804}		{'uc1.$b795581'}		A young man from the south
Richardson Henry Handel pseud	B7028	{3194840}		{'uc1.32106002010616'}		The fortunes of Richard Mahony comprising Australia Felix The way home Ultima Thule
Remarque Erich Maria	B7029	{3223044}		{'uc1.32106008377712'}	{'World War, 1914-1918'}	The road back
Blagden Isa	B703	{4360385}		{'nyp.33433074940721', 'nyp.33433074940713'}	{'English fiction'}	The cost of a secret
Rowcroft Charles	B7030	{8381313}		{'uc1.b3327129', 'uiuo.ark+=13960=t5w673c5j', 'uiuo.ark+=13960=t1fj33850'}		The man without a profession
Roberts Morley	B7031	{8907927}		{'uc1.b3327177'}		The prey of the strongest
Russell William Clark	B7032	{6784556}		{'uc1.b3327314'}		The ships adventure
Reynolds Frederick	B7033	{5383441, 8617843, 4707334, 5153775}		{'uc1.b3546710'}	{'1764-1841', 'Reynolds, Frederick'}	The life and times of Frederick Reynolds
Rowcroft Charles	B7034	{4974956}		{'uc1.b3548014'}		Fanny the little milliner or The rich and the poor
Reade Charles	B7035	{8666326}		{'uc1.b3562173'}		Foul play
Ryan Marah Ellis	B7036	{9038856}	{'History'}	{'uc1.b3727822'}	{'California', 'History', '1850-1950'}	For the soul of Rafael
Reid Christian	B7037	{8663424}		{'uc1.b4102273'}	{'North Carolina'}	A question of honor A novel
Ritchie Leitch	B7038	{8796361}		{'uc1.b4104303'}	{'Schinderhannes', '1783-1803'}	Schinderhannes the robber of t
Robinson Emma	B7039	{4980864}		{'uc1.b4104307'}	{'Civil War, 1642-1649', 'History'}	Whitehall or The days of Charles the first  an historical romance
Blackmore R D Richard Dooddridge	B704	{8847522}		{'nyp.33433074940804'}		Dariel a romance of Surrey
Ruffini Giovanni	B7040	{8427503}		{'uc1.b5079186'}		The Paragreens on a visit to the Paris Universal Exhibition
Ruffini Giovanni	B7041	{8778740}		{'uc1.b5079187'}		A quiet nook in the Jura
Robins Elizabeth	B7042	{8926814, 6822031}		{'uc2.ark+=13960=fk23b5wc1t'}		Come and find me
Robins Elizabeth	B7043	{3158456}		{'uc2.ark+=13960=fk4th8bt6h'}		The magnetic north
Robinson F W Frederick William	B7044	{8534446}		{'uc2.ark+=13960=t3jw8853k', 'uc2.ark+=13960=t00001c80', 'uc2.ark+=13960=t0bv7c67s'}		Coward conscience
Rickert Edith	B7045	{6852988}		{'uc2.ark+=13960=t00001m65'}		The golden hawk
Rushden Patrick	B7046	{3177318}		{'uc2.ark+=13960=t03x85765'}		The sealion
Riddell Charlotte Eliza Lawson Cowan Mrs J H Riddell	B7047	{2454875, 9450844}		{'uc2.ark+=13960=t03x8c04j'}		George Geith of Fen Court
Robins Elizabeth	B7048	{9016412, 3180982}		{'uc2.ark+=13960=t0ft8g37n'}		A dark lantern
Ross Albert	B7049	{6806782}		{'uc2.ark+=13960=t0gt5gp3h'}		A sugar princess
Blackmore R D Richard Dooddridge	B705	{8675288, 2737970, 8740245}	{'History', 'Novel', 'Historical fiction', 'Love stories'}	{'nyp.33433074940838'}	"{'Charles II, 1660-1685', 'History', ""Monmouth's Rebellion, 1685""}"	Lorna Doone a romance of Exmoor
Ridge W Pett William Pett	B7050	{6791584, 8985572, 6762301, 6796871}		{'uc2.ark+=13960=t0js9rn0q'}		A Son of the state
Roberts Charles George Douglas Sir	B7051	{6816589}		{'uc2.ark+=13960=t0ks6kf1m'}		The prisoner of Mademoiselle
Reynolds Baillie Mrs	B7052	{3199559}		{'uc2.ark+=13960=t0ms3md27'}		A castle to let
Reid Mayne	B7053	{4998909}	{'Juvenile audience'}	{'uc2.ark+=13960=t0zp4163f'}		The boy hunters or Adventures in search of a white buffalo
Randall F J	B7054	{8920138}		{'uc2.ark+=13960=t15m63w00'}		Love and the ironmonger
Ransome Arthur	B7055	{2437779}		{'uc2.ark+=13960=t15m6714c'}		The hoofmarks of the faun
Rita	B7056	{6804417, 3164883, 8880732}		{'uc2.ark+=13960=t1bk1909g'}		A jilts journal
Ritchie Anne Thackeray	B7057	{8985260}		{'uc2.ark+=13960=t1dj5fc10'}		The village on the cliff
Richards Grant	B7058	{9365957}		{'uc2.ark+=13960=t1td9v90f'}		Bittersweet
Robinson Emma	B7059	{4416930, 5004482}		{'uiuo.ark+=13960=t20c5m89d', 'uc2.ark+=13960=t1vd6qn4c', 'uc2.ark+=13960=t3vt1jb61'}		The armourers daughter or The border riders
Bickerdyke John	B706	{6801286}		{'nyp.33433074942875'}		The passing of Prince Rozan a romance of the sea
Rita	B7060	{3162659}		{'uc2.ark+=13960=t24b30d9w'}		A husband of no importance
Ritchie Anne Thackeray	B7061	{9301599}		{'uc2.ark+=13960=t28914296'}	{'Correspondence', 'Authors'}	Blackstick papers
Roberts Morley	B7062	{8837292}		{'uc2.ark+=13960=t28919851'}		A question of instinct
Rinehart Mary Roberts	B7063	{3199471}		{'uc2.ark+=13960=t2p55dt6s'}		Affinities
Rives Amélie	B7064	{9372696, 3195798}		{'uc2.ark+=13960=t2q52fh2d'}	{'American fiction'}	Worlds end
Remington Frederic	B7065	{8869079}		{'uc2.ark+=13960=t2q52pq4z'}		John Ermine of the Yellowstone
Reid Mayne	B7066	{9429361}		{'uc2.ark+=13960=t2t43pd6v'}		The cliffclimbers or The lone home in the Himalayas
Racowitza Helene von	B7067	{8940843, 2440875}		{'uc2.ark+=13960=t2v40x26f'}	{'Biography', 'Women', 'Germany', 'IsBiographical', 'Princesses'}	Princess Helene von Racowitza
Rodziewiczwna Maria	B7068	{6814183}		{'uc2.ark+=13960=t3125wc06'}		Distaff
Rosenkrantz Palle	B7069	{9022864}		{'uc2.ark+=13960=t3319tv89'}		The magistrates own case
Banim John	B707	{5268184, 8669429}		{'wu.89087923348', 'wu.89087923314', 'nyp.33433074955489'}		Tales by the OHara family  second series  comprising the Nowlans and Peter of the castle
Russell William Clark	B7070	{8930269}		{'uc2.ark+=13960=t3319z51m'}		The tragedy of Ida Noble
Richardson Dorothy M Dorothy Miller	B7071	{2439552}		{'uc2.ark+=13960=t38053k96'}		Honeycomb
Roberts Charles George Douglas Sir	B7072	{8926227, 6817459}		{'uc2.ark+=13960=t39z9238h'}		The heart that knows
Roy Jean	B7073	{2439865}		{'uc2.ark+=13960=t3dz04h7r'}	{'Household employees', 'Roy, Jean', 'IsBiographical'}	The fields of the fatherless
Reid Mayne	B7074	{9435768}		{'uc2.ark+=13960=t3rv0nd3r'}		The bandolero or A marriage among the mountains
Ross Albert	B7075	{6814334, 8869662}		{'uc2.ark+=13960=t3tt4h48q'}		Thou shalt not
Rives Hallie Erminie	B7076	{8867065, 6756771, 6675428}		{'uc2.ark+=13960=t3vt1h32j'}		A furnace of earth
RoltWheeler Ethel	B7077	{6831748, 6871374}		{'uc2.ark+=13960=t3ws8kx37'}		Behind the veil
Ritchie Anne Thackeray	B7078	{8933084, 8670646}		{'uc2.ark+=13960=t3zs2xs1z'}		To Esther and other sketches
Raine William MacLeod	B7079	{3205698}		{'uc2.ark+=13960=t40r9r189'}		Steve Yeager
Blatchford Robert	B708	{3173648}		{'nyp.33433074967054'}		A son of the forge
Roberts Charles George Douglas Sir	B7080	{6672002}	{'Folklore'}	{'uc2.ark+=13960=t4bn9z67m'}	{'Animals', '(OCoLC)fst00809468', 'Folklore'}	The kindred of the wild
Riley W	B7081	{3196718}		{'uc2.ark+=13960=t4dn41r5c'}		Windyridge
Ray Anna Chapin	B7082	{4105067}		{'uc2.ark+=13960=t4fn12c0m'}	{'South Africa'}	On the firing line
Reed Myrtle	B7083	{8878595, 3167543}		{'uc2.ark+=13960=t4hm52x31'}		Lavender and old lace
Roberts Morley	B7084	{3157298}		{'uc2.ark+=13960=t4mk6dw45'}		The reputation of George Saxon
Roby John	B7085	{8304846}		{'uc2.ark+=13960=t4mk6jn2q'}	{'Lancashire', 'England', 'English literature', 'Legends', 'Social life and customs', 'Folklore'}	Traditions of Lancashire
Roland John	B7086	{9102589}		{'uc2.ark+=13960=t4qj79r62'}		The good shepherd
Rickard Victor	B7087	{3212191}		{'uc2.ark+=13960=t4rj4bn1w'}		Cathy Rossiter
Rice Alice Caldwell Hegan	B7088	{6807300, 6834502}		{'uc2.ark+=13960=t4sj1bv84'}		Lovey Mary
Roberts Charles George Douglas Sir	B7089	{6806996}		{'uc2.ark+=13960=t4xg9hp6k'}		The forge in the forest
Baron Erskine Thomas Erskine	B709	{5103832}	{'Novel'}	{'nyp.33433075731376'}	{'Utopias', '1792-1822', 'Shelley, Percy Bysshe', 'Books and reading'}	The second part of Armata
Ruffini Giovanni	B7090	{8651504}		{'uc2.ark+=13960=t53f5016t'}		Lavinia
Reade Charles	B7091	{4362998}		{'uc2.ark+=13960=t54f1qk8f'}		Hard cash
Rinehart Mary Roberts	B7092	{3206769}		{'uc2.ark+=13960=t55d8nw4b'}		Long live the king
Russell William Clark	B7093	{8805758}		{'uc2.ark+=13960=t58c9sk4x'}		The emigrant ship
Robertson Morgan	B7094	{3171481, 6816506, 8902094}		{'uc2.ark+=13960=t59c6t87x'}		Over the border
Reade William Winwood	B7095	{8524657}		{'uc2.ark+=13960=t5bc4b17j'}	{'Description and travel', 'Africa, West'}	The African sketchbook
Russell William Clark	B7096	{6757776, 8842867}		{'uc2.ark+=13960=t5j965f69'}		A tale of two tunnels
Richardson Charles F Charles Francis	B7097	{6826396, 3178511}		{'uc2.ark+=13960=t5m902k47'}		The end of the beginning
Roberts Charles George Douglas Sir	B7098	{3220185}		{'uc2.ark+=13960=t5n87bp31'}		In the morning of time
Rice Alice Caldwell Hegan	B7099	{3200314}		{'uc2.ark+=13960=t5r78622s'}		Calvary alley
Anstey F	B71	{3161723}		{'nyp.33433074862545'}	{'English fiction', 'English wit and humor'}	Baboo Jabberjee BA
Bjelke Petersen Marie	B710	{3215359}		{'nyp.33433075766695'}		The immortal flame
Russell William Clark	B7100	{6765810, 8853917}		{'uc2.ark+=13960=t5w66gd2q'}		The last entry
Rolfe Frederick	B7101	{3170700, 6806150}	{'Bibliographies'}	{'uc2.ark+=13960=t6057jc5s'}	{'Manners and customs'}	In his own image
Reade Charles	B7102	{9436673}		{'uc2.ark+=13960=t6057nm0r'}		Griffith Gaunt or Jealousy
Reade Charles	B7103	{8636661, 5012670}		{'uc2.ark+=13960=t6154t62k'}		The course of true love never did run smooth
Russell William Clark	B7104	{8937901}		{'uc2.ark+=13960=t6251mw3q'}		List ye landsmen
Reid Christian	B7105	{3188081, 8968015, 6791431}		{'uc2.ark+=13960=t6445jb5g'}		The man of the family
Rideing William H	B7106	{3173953, 8999606}		{'uc2.ark+=13960=t6833p899'}		How Tyson came home
Roe Edward Payson	B7107	{8594245}		{'uc2.ark+=13960=t6833wr73'}	{'1838-1888', 'Roe, Edward Payson', 'American fiction'}	A face illumined
